,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
432,Nan,TH,18.83,100.67,78.8,94,20,1.05
433,Carnarvon,AU,-24.87,113.63,64.4,59,90,14.99
434,Tarnos,FR,43.54,-1.46,73.4,60,93,11.41
435,Kangaba,ML,11.93,-8.42,73.22,93,100,7.02
436,Berdigestyakh,RU,62.1,126.7,53.13,73,50,3.85
437,Inírida,CO,3.87,-67.92,81.79,88,100,0.76
438,Chitungwiza,ZW,-18.01,31.08,75.63,32,69,8.77
439,Bodden Town,KY,19.28,-81.25,87.8,79,20,10.29
440,Bull Savanna,JM,17.89,-77.59,82.94,64,45,5.32
441,Las Lomas,PA,8.43,-82.4,82.0,78,20,2.24
442,Lichinga,MZ,-13.31,35.24,77.0,41,20,14.99
443,Kamenka,RU,51.32,42.77,91.99,20,0,3.06
444,Tottori-shi,JP,35.5,134.23,79.05,85,77,6.73
445,Voss,NO,60.62,6.42,60.01,73,1,6.67
446,Agüimes,ES,27.91,-15.45,80.6,65,20,17.22
447,Tegul'det,RU,57.31,88.17,56.89,95,50,8.57
448,Zunyi,CN,27.69,106.91,72.21,76,0,2.75
449,Banda Aceh,ID,5.56,95.32,79.66,78,100,14.0
450,Osa,RU,57.28,55.46,72.84,69,100,11.07
451,Katherine,AU,-14.47,132.27,84.2,30,71,8.05
452,Kainan,JP,34.15,135.2,82.4,83,37,4.7
453,Framingham,US,42.28,-71.42,73.0,64,99,1.01
454,San Matías,BO,-16.37,-58.4,87.58,34,0,5.97
455,Murakami,JP,38.23,139.48,74.61,77,38,8.28
456,Agirish,RU,61.92,63.02,52.59,89,100,6.76
457,Northam,GB,51.03,-4.22,66.99,73,26,4.0
458,Avera,US,33.19,-82.53,84.0,94,1,4.7
459,Pahrump,US,36.21,-115.98,63.0,22,0,4.0
460,Ranong,TH,9.97,98.63,78.8,100,20,3.36
461,Balkhash,KZ,46.84,74.98,77.07,31,0,6.87
462,Terrace,CA,54.52,-128.6,55.4,93,75,9.17
463,Codrington,AU,-38.27,141.97,52.95,56,100,15.03
464,Trelew,AR,-43.25,-65.31,53.69,45,0,17.92
465,Sitka,US,57.05,-135.33,55.4,87,90,9.17
466,Igarapava,BR,-20.04,-47.75,84.2,30,0,11.41
467,Tura,IN,25.52,90.22,74.61,98,100,4.47
468,Kibala,TD,9.11,18.35,87.8,62,40,1.79
469,Baijiantan,CN,45.63,85.18,83.62,18,97,0.98
470,Longhua,CN,23.61,114.19,81.73,75,0,1.86
471,Semnan,IR,35.57,53.4,82.4,20,40,5.59
472,Rūdbār,AF,30.15,62.6,88.0,13,0,12.24
473,Meulaboh,ID,4.14,96.13,77.04,87,100,8.28
474,Necochea,AR,-38.55,-58.74,46.99,67,0,4.0
475,Brits,ZA,-25.63,27.78,59.0,62,75,18.34
476,Cabedelo,BR,-6.98,-34.83,82.4,69,75,14.99
477,Nushki,PK,29.55,66.02,85.78,13,1,8.21
478,Kuantan,MY,3.81,103.33,82.4,78,20,4.7
479,Broken Hill,AU,-31.95,141.43,59.0,30,100,10.29
480,Atasū,KZ,48.68,71.64,76.68,24,9,8.81
481,Hurghada,EG,27.26,33.81,91.24,40,0,7.09
482,Kpandae,GH,8.47,-0.01,75.99,82,100,5.17
483,Celestún,MX,20.87,-90.4,81.45,76,0,10.92
484,San Rafael del Sur,NI,11.85,-86.44,82.4,74,40,6.93
485,Iralaya,HN,15.0,-83.23,84.2,79,40,3.06
486,Tamiahua,MX,21.27,-97.45,83.07,84,0,2.62
487,Two Rivers,US,44.15,-87.57,66.0,72,1,5.82
488,Tres Arroyos,AR,-38.37,-60.28,45.64,57,0,9.66
489,George Town,MY,5.41,100.34,86.0,83,20,4.7
490,Hohhot,CN,40.81,111.65,59.0,62,20,4.47
491,Santa Helena,BR,-2.23,-45.3,89.47,45,6,7.0
492,Kununurra,AU,-15.77,128.73,77.0,42,25,2.24
493,Kimbe,PG,-5.55,150.14,76.26,88,100,6.26
494,Santiago,CL,-33.46,-70.65,53.01,100,90,2.24
495,Taltal,CL,-25.4,-70.48,54.63,74,92,2.93
496,Ejido Ixcatepec,MX,21.2,-97.95,77.86,95,61,4.92
497,Ahipara,NZ,-35.17,173.17,54.68,86,98,8.41
498,Alice Springs,AU,-23.7,133.88,68.0,19,11,4.7
499,Caldwell,US,43.66,-116.69,53.6,76,1,5.82
500,Pingliang,CN,35.54,106.69,59.86,59,54,3.11
501,Fengcheng,CN,40.45,124.07,66.07,94,25,1.39
502,Tarija,BO,-21.54,-64.73,57.2,62,75,4.7
503,Smirnykh,RU,49.75,142.83,56.14,93,94,3.44
504,Dauriya,RU,49.93,116.87,50.76,88,100,5.7
505,Ekhabi,RU,53.51,142.97,56.82,96,100,6.85
506,Rognan,NO,67.1,15.39,59.0,72,40,4.7
507,Novhorodka,UA,48.37,32.66,95.0,15,0,11.18
508,Tarko-Sale,RU,64.92,77.78,54.0,78,78,10.54
509,Tamboril,DO,19.49,-70.61,84.0,69,75,5.82
510,Langsa,ID,4.47,97.97,77.65,90,95,2.1
511,Fort Nelson,CA,58.81,-122.7,59.0,41,40,16.11
512,Boralday,KZ,43.36,76.86,71.6,64,90,4.47
513,Praia,CV,14.92,-23.51,84.2,62,20,12.75
514,Makakilo City,US,21.35,-158.09,78.8,65,1,5.82
515,Kodarmā,IN,24.47,85.6,79.81,86,100,3.56
516,Uglovoye,UA,44.82,33.6,80.06,59,0,7.11
517,Mahibadhoo,MV,3.78,72.97,83.1,72,87,13.71
518,Cheremkhovo,RU,53.16,103.07,54.03,72,0,6.67
519,Simbahan,PH,6.3,120.58,84.22,73,55,4.25
520,Huadian,CN,42.96,126.75,64.47,92,61,2.8
521,Jaciara,BR,-15.97,-54.97,98.42,15,0,4.07
522,Kawalu,ID,-7.38,108.21,70.84,90,81,1.59
523,Ulaangom,MN,49.98,92.07,58.42,54,0,2.1
524,Suzhou,CN,31.31,120.62,84.99,58,9,8.32
525,Arona,ES,28.1,-16.68,80.6,65,40,13.87
526,Bullhead City,US,35.15,-114.57,87.01,41,0,3.24
527,Kirakira,SB,-10.45,161.92,77.2,87,100,3.69
528,Itarema,BR,-2.92,-39.92,88.36,44,0,15.99
529,Vardø,NO,70.37,31.11,51.8,57,40,11.41
530,Paraíba do Sul,BR,-22.16,-43.29,77.0,56,65,1.88
531,Locri,IT,38.24,16.26,82.4,45,0,18.34
532,Jati,PK,24.35,68.27,83.41,70,10,13.62
533,Mardin,TR,37.31,40.74,105.8,9,20,10.29
534,Zabid,YE,14.2,43.32,89.58,50,99,17.49
535,Almansa,ES,38.87,-1.1,75.0,52,83,4.0
536,Derzhavīnsk,KZ,51.1,66.32,81.07,34,19,4.92
537,Vallenar,CL,-28.57,-70.76,51.04,68,70,3.65
538,Warman,CA,52.32,-106.57,59.0,71,40,18.34
539,Klyuchi,RU,52.27,79.17,75.65,51,56,10.83
540,Beloha,MG,-25.17,45.05,73.96,66,1,14.61
541,Kuznechnoye,RU,61.12,29.87,60.01,49,0,3.89
542,Sept-Îles,CA,50.2,-66.38,57.2,67,75,10.29
543,Christchurch,NZ,-43.53,172.63,39.99,93,100,2.24
544,Robertsport,LR,6.75,-11.37,78.22,81,81,11.81
545,Deputatsky,RU,69.3,139.9,30.25,97,13,3.94
546,Salamiyah,SY,35.01,37.05,106.84,10,99,15.5
547,Pemberton,CA,50.32,-122.8,53.6,87,90,2.24
548,Hofn,IS,64.25,-15.21,51.06,93,100,12.62
549,Wellington,NZ,-41.29,174.78,46.99,93,100,19.46
550,Mikhaylovskoye,RU,51.82,79.72,75.36,41,46,9.69
551,Harrison,US,30.41,-89.04,86.0,79,40,8.05
552,Vaitape,PF,-16.52,-151.75,78.37,74,55,25.3
553,Sabang,ID,5.89,95.32,83.53,73,96,14.34
554,Atambua,ID,-9.11,124.89,71.26,90,12,5.5
555,Cochrane,CA,51.18,-114.47,55.4,54,1,8.05
556,Troitsko-Pechorsk,RU,62.71,56.2,50.34,95,100,6.91
557,Qujing,CN,25.48,103.78,61.12,89,0,2.84
558,Rongcheng,CN,30.63,117.85,76.51,88,25,1.19
559,Mitchell,US,43.71,-98.03,60.8,63,1,8.05
560,North Bend,US,43.41,-124.22,55.4,93,1,7.52
561,Camocim,BR,-2.9,-40.84,89.94,41,0,10.47
562,Hobyo,SO,5.35,48.53,81.12,71,5,30.89
563,Jinxiang,CN,22.86,115.7,85.8,77,4,7.92
564,Rafaela,AR,-31.25,-61.49,48.0,66,100,4.0
565,Esqueda,MX,30.72,-109.58,68.22,86,95,4.29
566,Kouango,CF,4.99,19.96,79.36,90,98,6.71
567,São Gabriel da Cachoeira,BR,-0.13,-67.09,82.4,83,0,2.24
568,Laguna,US,38.42,-121.42,62.01,82,1,4.7
569,La Sarre,CA,48.8,-79.2,58.57,96,100,7.0
570,Yarmouth,US,41.71,-70.23,71.01,64,75,9.17
